id,station_cd,name,name_bracket,name_kana,location,pref_cd,distance_gynecology,distance_pediatrics,distance_kindergarten,distance_nursery_school,distance_outside,distance_pediatric_dentistry,distance_otolaryngology,distance_dermatology,distance_learning,distance_primary_school,distance_ocular,distance_restaurant,is_disabled,created_at,deleted_at
96,20095,尾白内,尾白内,ｵｼﾛﾅｲ,POINT(140.6136 42.11122),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
97,20476,東森,東森,ﾋｶﾞｼﾓﾘ,POINT(140.5935 42.10678),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
98,20734,中小国,中小国,ﾅｶｵｸﾞﾆ,POINT(140.5968 41.05153),2,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
99,20714,奥津軽いまべつ,奥津軽いまべつ,ｵｸﾂｶﾞﾙｲﾏﾍﾞﾂ,POINT(140.5156 41.14485),2,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
100,20263,知内,知内,ｼﾘｳﾁ,POINT(140.3353 41.60135),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
101,20151,木古内,木古内,ｷｺﾅｲ,POINT(140.4338 41.67751),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
102,20062,江差,江差,ｴｻｼ,POINT(140.1279 41.85671),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
103,20135,上ノ国,上ノ国,ｶﾐﾉｸﾆ,POINT(140.124 41.80549),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
104,20375,中須田,中須田,ﾅｶｽﾀﾞ,POINT(140.1493 41.78716),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
105,20116,桂岡,桂岡,ｶﾂﾗｵｶ,POINT(140.166 41.77305),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
106,20563,宮越,宮越,ﾐﾔｺｼ,POINT(140.185 41.76244),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
107,20598,湯ノ岱,湯ノ岱,ﾕﾉﾀｲ,POINT(140.2437 41.75039),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
108,20280,神明,神明(北海道),ｼﾝﾒｲ,POINT(140.2656 41.73439),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
109,20601,吉堀,吉堀,ﾖｼﾎﾞﾘ,POINT(140.3792 41.68404),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
110,20092,渡島鶴岡,渡島鶴岡,ｵｼﾏﾂﾙｵｶ,POINT(140.4112 41.6709),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,1,2012/6/27 14:22,2017/7/6 9:36
111,20218,札苅,札苅,ｻﾂｶﾘ,POINT(140.468 41.69929),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
112,20043,泉沢,泉沢,ｲｽﾞﾐｻﾜ,POINT(140.5067 41.7009),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
113,20122,釜谷,釜谷,ｶﾏﾔ,POINT(140.5372 41.71212),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
114,20093,渡島当別,渡島当別,ｵｼﾏﾄｳﾍﾞﾂ,POINT(140.5795 41.73754),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
115,20578,茂辺地,茂辺地,ﾓﾍｼﾞ,POINT(140.6008 41.76651),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
116,20126,上磯,上磯,ｶﾐｲｿ,POINT(140.6416 41.81984),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
117,20171,清川口,清川口,ｷﾖｶﾜｸﾞﾁ,POINT(140.6527 41.82447),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
118,20179,久根別,久根別,ｸﾈﾍﾞﾂ,POINT(140.666 41.8265),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
119,20462,東久根別,東久根別,ﾋｶﾞｼｸﾈﾍﾞﾂ,POINT(140.68 41.82606),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
120,20383,七重浜,七重浜,ﾅﾅｴﾊﾏ,POINT(140.7088 41.81737),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
121,20446,八軒,八軒,ﾊﾁｹﾝ,POINT(141.3191 43.08633),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
122,20268,新川,新川(北海道),ｼﾝｶﾜ,POINT(141.3238 43.09855),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
123,20270,新琴似,新琴似,ｼﾝｺﾄﾆ,POINT(141.3352 43.11313),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
124,20302,太平,太平,ﾀｲﾍｲ,POINT(141.3489 43.12388),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
125,20599,百合が原,百合が原,ﾕﾘｶﾞﾊﾗ,POINT(141.3607 43.13132),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
126,20243,篠路,篠路,ｼﾉﾛ,POINT(141.3642 43.14521),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
127,20467,拓北,拓北,ﾀｸﾎｸ,POINT(141.3812 43.15549),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
128,20005,あいの里教育大,あいの里教育大,ｱｲﾉｻﾄｷｮｳｲｸﾀﾞｲ,POINT(141.3985 43.15521),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
